id,mis_month,total_zaimu,マネジメント資質,ヴァイタリティ,人あたり,チームワーク,創造的思考力,問題解決力,状況適応力,プレッシャーへの耐力,オーガナイズ能力,統率力,営業Ⅰ,営業Ⅱ,スタッフ,一般事務,エンジニア,研究開発,接客／店頭販売／コールセンター,言語標準点,計数標準点,説得力,指導力,独自性,外向性,友好性,社会性,謙虚さ,協議性,面倒み,具体的事物,データ,美的価値,人間,オーソドックス,変化志向,概念性,創造的,計画性,緻密,几帳面,余裕,心配性,タフ,抑制,楽観的,批判的,行動力,競争性,上昇志向,entry,function,total_zaimu_ins,total_zaimu_mf,total_zaimu_pd,total_zaimu_sib,total_zaimu_ttb,total_zaimu_tts,total_zaimu_xcy,avg_total_zaimu,avg_total_zaimu_ins,avg_total_zaimu_mf,avg_total_zaimu_pd,avg_total_zaimu_sib,avg_total_zaimu_ttb,avg_total_zaimu_tts,avg_total_zaimu_xcy,std_total_zaimu,std_total_zaimu_ins,std_total_zaimu_mf,std_total_zaimu_pd,std_total_zaimu_sib,std_total_zaimu_ttb,std_total_zaimu_tts,std_total_zaimu_xcy,dv_total_zaimu,dv_total_zaimu_ins,dv_total_zaimu_mf,dv_total_zaimu_pd,dv_total_zaimu_sib,dv_total_zaimu_ttb,dv_total_zaimu_tts,dv_total_zaimu_xcy
0C1321,1505,2378673.232,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Jr.CE,1190595.355,579975,380477.8779,,184248,27250,16127,1901480.116,766967.6928,699562.5833,199284.8046,47807.64,357496.44,140644.8636,12234.06667,826001.7557,567166.7519,544918.1259,200356.0089,45392.96403,326825.4924,183869.1075,12310.22354,55.7771441,57.46919068,47.80540273,59.04355573,,44.69905365,43.83284853,53.16235795
0C1321,1506,1537581.886,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Jr.CE,579678.5886,552582,267675.2976,,116052,3200,18394,1732177.18,1092909.855,625049.2483,155494.1735,116027.136,278679,116436.5385,17403.61538,1297226.896,1049788.541,641241.3002,152096.3657,137406.0791,208029.2074,161755.1431,12538.27038,48.49991321,45.11109861,48.86989113,57.37566105,,42.18249197,42.99950924,50.78988934
0C1321,1507,3304532.907,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Jr.CE,1556627.782,1135940,321221.1258,,123802,166942,,2039615.07,1658042.847,660382.75,171815.819,70455.2715,169664.4167,137878.5217,21805.25,1498775.035,1745134.51,441516.3147,162272.8765,39168.49826,154417.1681,126538.4227,37076.69752,58.43967779,49.41886963,60.77100062,59.20704125,,47.02996647,52.29681054,
0C1321,1508,1186671.806,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,CE,125620.3704,173429,672921.9019,21844.5336,130237,62619,,2862356.416,1323152.144,1354207.562,396312.9742,145397.4487,204329.382,219120.7586,25725.64444,1534330.284,1064502.289,815442.7904,319506.4954,220492.151,170372.9164,245784.3702,38748.4849,39.07872296,38.75031283,35.5197866,58.65738042,44.39649373,45.65116431,43.63255855,
0C1321,1509,3472888.276,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,CE,782253.0625,1724105,807586.2138,,0,158944,,2578435.043,1165456.958,1195438.99,313866.6567,783978.5134,123768.2571,155420.7439,41949.05128,1714878.564,1007076.531,916488.31,315301.1819,2478883.469,117202.68,164148.4251,81848.08236,55.21584007,46.19488803,55.76838792,65.65866497,,39.43980999,50.21463843,
0C1321,1510,3226126.081,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,CE,1338953.285,629994,1015634.796,,134854,102309,4381,2004221.904,1010914.968,824415.4825,283162.5305,185853.4923,142444.5135,175799.175,22133.4902,1296084.619,677603.9915,639209.9828,235969.5068,285275.9162,150889.5896,617367.3809,30394.2588,59.42765742,54.8411509,46.95840979,81.04097118,,49.49694916,48.80962005,44.15926201
0C1321,1511,2443643.549,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,976150,237160,1009417.549,,103399,117517,,2111329.597,1370569.561,766613.4509,370095.486,159309.7179,185527.6118,119454.3721,27406.98387,1595348.559,2057248.522,545662.2837,306592.0236,147798.2575,175108.2033,149217.781,32661.55348,52.08301784,48.08278117,40.2970488,70.85253409,,45.30983642,49.8701648,
0C1321,1512,3900349.503,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,1570725,1040138,943061.503,,185575,160850,,2704708.413,1424206.249,1144360.315,331884.6159,89958.19486,154966.4353,220543.7647,22433.66667,1638812.925,1733450.233,835128.0634,247882.9473,141302.9706,169406.6737,223702.8848,22119.60097,57.29577532,50.84524348,48.75201997,74.65586656,,51.80680985,47.33156035,
0C1321,1601,3061060.895,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,1135777.5,1115740,666551.395,,40000,102669,323,2460326.856,1333240.314,893078.3664,202427.1142,608472.3837,145026.96,233238.2174,23869.19149,1555398.774,986197.8678,816497.0085,194763.1569,1659617.168,241738.567,202161.177,35175.42509,53.86225095,47.99773635,52.72703551,73.83018883,,45.65534944,43.54133077,43.30606768
0C1321,1602,4259125.734,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,2226799.404,1425129,405895.33,,,201302,,2706094.407,1710303.189,731846.5899,220035.0116,346129.0249,183310.7368,232482.5444,28226.70833,1198348.042,1100158.925,658093.4683,209039.4181,414998.0299,238726.7801,164408.9125,31360.35138,62.95976855,54.69474185,60.5347104,58.8911613,,,48.10347602,
0C1321,1603,2889091.336,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,663793.2,1633838,385719.586,6848.55,68615,130277,0,2838642.72,2358982.454,552323.058,165614.7337,178901.7123,133648.1449,93012.38636,23223,1666398.75,1478323.211,543218.9781,184213.9733,299659.2495,144722.417,112222.7844,27359.90042,50.30274036,38.53302686,69.9093733,61.94832555,44.25837305,45.50635304,53.3205925,41.51203051
0C1321,1604,2278373.607,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,GE,1921284.398,10000,285250.7095,6382.5,20397,35059,,2061524.216,1796283.515,508553.867,136363.6732,90889.99447,144353.7973,96296.6875,24286.24242,1401899.304,1268754.189,426806.1844,172747.6666,145768.4721,174999.3629,191064.2384,30421.50853,51.54682573,50.98522538,38.31896338,58.61875817,44.20262192,42.91672865,46.79491631,
